联网设备名称,SN,变量名称,从机序号,从机名称,time,value
设备5_new,6.1694E+16,温度,2,土壤,56:58.4,11
设备5_new,6.1694E+16,温度,2,土壤,01:56.9,10
设备5_new,6.1694E+16,温度,2,土壤,07:04.4,11
设备5_new,6.1694E+16,温度,2,土壤,11:59.3,10
设备5_new,6.1694E+16,温度,2,土壤,16:55.0,11
设备5_new,6.1694E+16,温度,2,土壤,21:56.2,11
设备5_new,6.1694E+16,温度,2,土壤,26:59.4,11
设备5_new,6.1694E+16,温度,2,土壤,31:55.8,10
设备5_new,6.1694E+16,温度,2,土壤,37:03.5,10
设备5_new,6.1694E+16,温度,2,土壤,41:57.9,10
设备5_new,6.1694E+16,温度,2,土壤,46:55.6,10
设备5_new,6.1694E+16,温度,2,土壤,51:59.0,10
设备5_new,6.1694E+16,温度,2,土壤,56:59.3,10
设备5_new,6.1694E+16,温度,2,土壤,01:55.9,10
设备5_new,6.1694E+16,温度,2,土壤,07:04.9,10
设备5_new,6.1694E+16,温度,2,土壤,12:01.5,10
设备5_new,6.1694E+16,温度,2,土壤,16:52.3,10
设备5_new,6.1694E+16,温度,2,土壤,21:56.8,10
设备5_new,6.1694E+16,温度,2,土壤,26:59.1,10
设备5_new,6.1694E+16,温度,2,土壤,31:56.0,10
设备5_new,6.1694E+16,温度,2,土壤,37:02.7,10
设备5_new,6.1694E+16,温度,2,土壤,41:59.3,10
设备5_new,6.1694E+16,温度,2,土壤,46:54.5,10
设备5_new,6.1694E+16,温度,2,土壤,51:56.0,10
设备5_new,6.1694E+16,温度,2,土壤,56:59.8,10
